Name,Category Alias,Category Title,Latitude,Longitude,Price,Rating
Ravintola Vinkkeli,modern_european,Modern European,60.1639,24.94641,Most Expensive,5.0
Baskeri &  Basso,bistros,Bistros,60.1578732195411,24.934694096446,Affordable,4.8
Chef & Sommelier,scandinavian,Scandinavian,60.15766,24.94254,Most Expensive,4.8
Spis,scandinavian,Scandinavian,60.1636314,24.9476795,Most Expensive,4.8
Ani,turkish,Turkish,60.1571504587047,24.9336607849584,Affordable,4.5
Ora,scandinavian,Scandinavian,60.15766,24.94254,Not Listed,5.0
Yes yes yes,vegan,Vegan,60.1642087586756,24.9439802393317,Not Listed,5.0
Vibami,vietnamese,Vietnamese,60.1631,24.94172,Affordable,4.5
Tommyknocker,pubs,Pubs,60.1634598,24.9412804,Affordable,4.4
The Riff,bars,Bars,60.1641388,24.9428196,Affordable,4.4
Hills Dumplings,dimsum,Dim Sum,60.16441,24.94533,Not Listed,4.4
Brooklyn Cafe,bagels,Bagels,60.16131,24.94182,Most Affordable,4.3
Saslik,russian,Russian,60.15868,24.9485092,Most Expensive,4.3
Istanbul Grilli,turkish,Turkish,60.1629414443893,24.9389866097799,Expensive,4.3
Ravintola Natura,scandinavian,Scandinavian,60.16369,24.94181,Most Expensive,4.3
BrewDog,pubs,Pubs,60.16062,24.9425199,Affordable,4.3
Ravintola Maxill,food,Food,60.1604385,24.9461498,Expensive,4.3
SIS. Deli & Café,coffee,Coffee & Tea,60.16077,24.94634,Most Affordable,4.3
Healthinki,coffee,Coffee & Tea,60.15853,24.94482,Not Listed,5.0
Ravintola Saaristo,scandinavian,Scandinavian,60.1593617088918,24.9655079841614,Expensive,4.5
Green Hippo Cafe,breakfast_brunch,Breakfast & Brunch,60.1617042372927,24.9400799771933,Not Listed,5.0
Basbas & Staff,wine_bars,Wine Bars,60.1577364126093,24.9338689818978,Expensive,4.5
Bar Llamas,bars,Bars,60.163398803427,24.942201278584,Affordable,4.2
Juuri,scandinavian,Scandinavian,60.1639155047475,24.9462911852249,Most Expensive,4.2
SIS. Deli & Cafe,"delicatessen, juicebars","Delicatessen, Juice Bars & Smoothies",60.1604797,24.9405534,Affordable,4.2
Pastis,french,French,60.1641857,24.947771,Expensive,4.2
Ravintola Il Bucatino,italian,Italian,60.15754,24.93474,Expensive,4.7
Pikku Georgia,bakeries,Bakeries,60.16131,24.94182,Most Affordable,4.7
Soup & Juice,salad,Salad,60.1637802,24.9365005,Most Affordable,4.7
Sea Horse,scandinavian,Scandinavian,60.1587659907993,24.9465446755218,Expensive,4.2
Latva,wine_bars,Wine Bars,60.1635895,24.9464207,Affordable,4.2
Tamarin,thai,Thai,60.1635201795302,24.9418830871582,Affordable,4.1
Kanniston Leipomo,bakeries,Bakeries,60.1592484,24.9364109,Most Affordable,4.1
Alfons Pizza,pizza,Pizza,60.1592496381371,24.9423121020166,Affordable,4.1
Taquería El Rey,mexican,Mexican,60.15891,24.94335,Affordable,4.1
Skiffer Liuskaluoto,pizza,Pizza,60.1527839520019,24.9464321136475,Affordable,4.1
Il Birrificio,bistros,Bistros,60.1631508,24.9381199,Affordable,4.1
Mat,bakeries,Bakeries,60.1631,24.94172,Not Listed,5.0
Factory St. Gallery,galleries,Art Galleries,60.1582140665298,24.9428010731936,Most Affordable,4.0
Norisushi Bar,sushi,Sushi Bars,60.1638603,24.9520893,Not Listed,5.0
Moola Rööperi,yoga,Yoga,60.1606293,24.9405594,Not Listed,5.0
Levant,mideastern,Middle Eastern,60.1643105,24.9358006,Most Affordable,4.0
Kom-ravintola,modern_european,Modern European,60.1588053526004,24.9460515126103,Affordable,4.0
BB.Badger&co,pubs,Pubs,60.1633862318622,24.9463684111834,Not Listed,5.0
Soil Wine Room,wine_bars,Wine Bars,60.1641808,24.9376907,Affordable,4.0
Cafe Panik,coffee,Coffee & Tea,60.1603630062143,24.9403458461165,Not Listed,5.0
Bones,danceclubs,Dance Clubs,60.1634564,24.9415345,Affordable,4.0
Fafa's Citykäytävä,mideastern,Middle Eastern,60.164004062598,24.9440579285889,Most Affordable,4.0
Farouge,mideastern,Middle Eastern,60.1641808,24.9435406,Expensive,4.0
Guo Ji,chinese,Chinese,60.1582108,24.9363308,Not Listed,5.0
Ravintola Savoy,restaurants,Restaurants,60.1666412,24.9473209,Most Expensive,4.8
Krog Roba,scandinavian,Scandinavian,60.16454,24.94722,Expensive,4.8
Pompier,scandinavian,Scandinavian,60.1671925257657,24.9492107925732,Expensive,4.8
Finlandia Caviar Shop & Restaurant,gourmet,Specialty Food,60.16691,24.95163,Not Listed,5.0
Trillby & Chadwick,speakeasies,Speakeasies,60.16835,24.9538,Affordable,4.7
Signora Delizia,coffee,Coffee & Tea,60.1676788,24.9626503,Affordable,4.7
Karl Johan,scandinavian,Scandinavian,60.1680266,24.9389719,Expensive,4.7
Zucchini,vegetarian,Vegetarian,60.1662313763646,24.9494676174376,Most Affordable,4.7
Rikhardinkadun kirjasto,libraries,Libraries,60.1662407,24.9464092,Not Listed,4.7
Bar Haven,champagne_bars,Champagne Bars,60.1666,24.95164,Expensive,4.6
Olo,scandinavian,Scandinavian,60.1680572300478,24.9564699456096,Most Expensive,4.6
Classic Pizza,pizza,Pizza,60.1685237503237,24.9424013740297,Affordable,4.6
Ravintola Aino,scandinavian,Scandinavian,60.1681595,24.9502296,Most Expensive,4.6
Trocadero,french,French,60.1647987,24.9426403,Not Listed,4.8
Demo,scandinavian,Scandinavian,60.1648301,24.9415088,Most Expensive,4.5
Shelter,modern_european,Modern European,60.16898,24.95993,Expensive,4.5
Palace,scandinavian,Scandinavian,60.1652603,24.9518204,Most Expensive,4.8
Liberty or Death,speakeasies,Speakeasies,60.16472,24.94462,Affordable,4.5
El Greco,greek,Greek,60.16597,24.94489,Affordable,4.5
Pizzeria Via Tribunali,pizza,Pizza,60.16848,24.95157,Not Listed,4.4
Soppakeittiö,soup,Soup,60.1664065865745,24.952743931244,Most Affordable,4.4
Toca,modern_european,Modern European,60.1654414,24.9512655,Expensive,4.4
Cafe Yrjö,coffee,Coffee & Tea,60.1683083,24.93894,Expensive,4.3
Katajanokan Kasino,venues,Venues & Event Spaces,60.1692900139143,24.9652956653234,Most Expensive,4.3
Copas y Tapas,tapasmallplates,Tapas/Small Plates,60.1687698,24.9490204,Not Listed,4.3
Fratello Torrefazione,coffee,Coffee & Tea,60.1697858000198,24.9479163361776,Affordable,4.3
Pastor,latin,Latin American,60.1660614,24.9430008,Expensive,4.3
Ravintola Nokka,scandinavian,Scandinavian,60.1690225729284,24.960840976999,Expensive,4.3
Pörssiklubi,restaurants,Restaurants,60.1684113,24.9486008,Not Listed,5.0
