Foursquare Name,Foursquare Search,Foursquare Category,Latitude,Longitude,Foursquare Popularity,Foursquare Price,Foursquare Rating,Rounded Latitude,Rounded Longitude,ID
Ravintola Paulette,13148,French Restaurant,60.158526,24.945557,0.9815886460623304,Affordable,9.1,60.159,24.946,60.159_24.946
Kaffa Roastery,13034,Café,60.158463,24.934133,0.992038988749515,Affordable,9.0,60.158,24.934,60.158_24.934
Daddy Greens Pizzabar - Iso Roobertinkatu,13064,Pizzeria,60.16284,24.940647,0.9811279581016424,Most Affordable,8.8,60.163,24.941,60.163_24.941
Ravintola Skiffer,13064,Pizzeria,60.152901,24.946306,0.9677014019431268,Affordable,8.7,60.153,24.946,60.153_24.946
Ravintola Pastis,13148,French Restaurant,60.164127,24.947772,0.9820493340230184,Affordable,8.6,60.164,24.948,60.164_24.948
Restaurant Elm,13065,Restaurant,60.156974,24.952636,0.989517328333118,Not Listed,8.6,60.157,24.953,60.157_24.953
Café Succès,13034,Café,60.159946,24.946425,0.990996379154274,Most Affordable,8.5,60.16,24.946,60.16_24.946
BasBas Kulma,13065,Restaurant,60.158246,24.934388,0.9713646062330272,Not Listed,8.4,60.158,24.934,60.158_24.934
Kanniston Leipomo myymälä,13002,Bakery,60.159244,24.936898,0.9845144187249448,Most Affordable,8.4,60.159,24.937,60.159_24.937
Mattolaituri,13025,Wine Bar,60.153817,24.95591,0.9713241950084056,Most Expensive,8.2,60.154,24.956,60.154_24.956
Boneless Ullanlinna,13055,Fried Chicken Joint,60.159167,24.94489,0.9737973619552568,Most Affordable,8.2,60.159,24.945,60.159_24.945
Pontus,13027,Bistro,60.159031,24.946071,0.9778708133971292,Not Listed,8.2,60.159,24.946,60.159_24.946
Ravintola Maxill,13148,French Restaurant,60.160412,24.94631,0.9716636492952282,Affordable,8.1,60.16,24.946,60.16_24.946
Punavuoren Ahven,13006,Beer Bar,60.160976,24.937724,0.995756821414716,Affordable,8.1,60.161,24.938,60.161_24.938
Ravintola,13034,Café,60.15308,24.952519,0.983011121169016,Affordable,8.0,60.153,24.953,60.153_24.953
Restaurant Manna,13289,Korean Restaurant,60.160486,24.939111,0.9480069184016552,Affordable,8.0,60.16,24.939,60.16_24.939
Forza,13064,Pizzeria,60.158477,24.933881,0.9847892150523728,Most Affordable,8.0,60.158,24.934,60.158_24.934
Ravintola NJK,13065,Restaurant,60.161257,24.964016,0.9458408767619296,Not Listed,8.0,60.161,24.964,60.161_24.964
Cafe Compass,13034,Café,60.155124,24.951613,0.980198499935342,Most Affordable,7.9,60.155,24.952,60.155_24.952
Sea Horse,13336,Scandinavian Restaurant,60.158641,24.946546,0.980707681365576,Affordable,7.8,60.159,24.947,60.159_24.947
Kahvila-Suomi (Kamome),13034,Café,60.159571,24.938757,0.9727870813397128,Affordable,7.6,60.16,24.939,60.16_24.939
Ravintola Primula,13064,Pizzeria,60.160484,24.941596,0.9822998836156732,Most Affordable,7.6,60.16,24.942,60.16_24.942
Ravintola Monal,13072,Asian Restaurant,60.163079,24.941937,0.9651736066209752,Not Listed,7.5,60.163,24.942,60.163_24.942
Goldfish,13009,Cocktail Bar,60.162534,24.946662,0.9789457519720678,Expensive,7.5,60.163,24.947,60.163_24.947
Café Ursula,13034,Café,60.155223,24.960745,0.9961770981507824,Expensive,7.3,60.155,24.961,60.155_24.961
Café Carusel,13034,Café,60.153769,24.942543,0.996977240398293,Affordable,7.1,60.154,24.943,60.154_24.943
Ravintola Saari,13336,Scandinavian Restaurant,60.152076,24.942346,0.936530130609078,Expensive,6.9,60.152,24.942,60.152_24.942
Old Skipper's,10032,Night Club,60.160484,24.941596,0.973183111341006,Expensive,6.9,60.16,24.942,60.16_24.942
Kaivohuone,13003,Bar,60.157545,24.95589,0.9795438380964696,Expensive,6.5,60.158,24.956,60.158_24.956
Karaoke Nightclub Club Swengi,13015,Karaoke Bar,60.16347,24.943154,0.9862763481184532,Affordable,5.5,60.163,24.943,60.163_24.943
Merimies Pub,13010,Dive Bar,60.160586,24.938199,0.9534462692357428,Most Affordable,5.0,60.161,24.938,60.161_24.938
HSL 1177 Eira,19042,Bus Station,60.155865,24.942475,0.9887010215957583,Not Listed,0.0,60.156,24.942,60.156_24.942
Ravintola HSS Paviljong,13065,Restaurant,60.151297,24.948369,0.956566015776542,Not Listed,0.0,60.151,24.948,60.151_24.948
Colas Pizzeria,13064,Pizzeria,60.157401,24.941848,0.3587546877020561,Most Affordable,0.0,60.157,24.942,60.157_24.942
Kaivopuiston Hammaslääkäriasema Oy,15007,Dentist,60.160546,24.955174,0.9504396741238846,Not Listed,0.0,60.161,24.955,60.161_24.955
Kasarmin Kilta ry,11130,Office Building,60.161767,24.947822,0.980796586059744,Not Listed,0.0,60.162,24.948,60.162_24.948
Viiskulma,13006,Beer Bar,60.160689,24.942361,0.9846679813785076,Not Listed,0.0,60.161,24.942,60.161_24.942
Momo Punavuori,13137,Dumpling Restaurant,60.160032,24.939921,0.5833279451700505,Most Affordable,0.0,60.16,24.94,60.16_24.94
Momo House,13137,Dumpling Restaurant,60.159907,24.939928,0.9683903401008664,Most Affordable,0.0,60.16,24.94,60.16_24.94
Eppu’s Cheesesteaks,13334,Sandwich Spot,60.160529,24.940638,0.9781375274796328,Most Affordable,0.0,60.161,24.941,60.161_24.941
Via Tribunali,13064,Pizzeria,60.159192,24.93775,0.9714858399068924,Most Affordable,0.0,60.159,24.938,60.159_24.938
Georgian Kitchen,13098,Caucasian Restaurant,60.16043,24.939065,0.9738539376697272,Not Listed,0.0,60.16,24.939,60.16_24.939
Fredan Murkina,10000,Arts and Entertainment,60.161528,24.940663,0.3105117677486098,Most Affordable,0.0,60.162,24.941,60.162_24.941
Paviljonki,13065,Restaurant,60.164079,24.949523,0.4095111858269753,Not Listed,0.0,60.164,24.95,60.164_24.95
Fly AF Bar,13011,Gay Bar,60.16313785174027,24.94185626506805,0.960857687831372,Affordable,0.0,60.163,24.942,60.163_24.942
Nisu-Aitta Oy,13065,Restaurant,60.157503,24.956055,0.0,Not Listed,0.0,60.158,24.956,60.158_24.956
Oy Despilio Ltd,13065,Restaurant,60.159562,24.947005,0.0,Not Listed,0.0,60.16,24.947,60.16_24.947
