latitude,longitude,free_bikes
60.15544479382098,24.950292889690314,24
60.160959094315416,24.95634747175871,3
60.1581892,24.9449274,6
60.1609859,24.9417758,0
60.1622251,24.9297099,11
60.1652883,24.9391499,3
60.166890083486,24.9442610720753,1
60.1650171805,24.94947287873,4
60.1674573,24.9510227,15
60.168384,24.9583814,24
60.1678703,24.9755341,1
60.169112,24.952197,10
60.17110664588,24.95555819284,6
60.174140249623726,24.962084269349347,7
60.1731029004969,24.9495192737191,0
60.16988,24.948522,1
60.1706061,24.9397601,1
60.171273,24.937106,0
60.1700420359,24.93460698,0
60.1658121,24.927021,1
60.164088,24.9225658,6
60.1635309,24.9145165,5
60.1713589074265,24.9318975121428,1
60.171196,24.924894,2
60.174063715,24.92822758053,3
60.1760798,24.9223942,3
60.1791231,24.9249114,1
60.180863,24.9494,6
60.181949,24.956806,9
60.1868618,24.9509168,3
60.186979,24.943358,4
60.165343,24.953535,0
60.1647545,24.9674861,15
60.16345894291,24.94177084206,1
60.1498127,24.8861094,5
60.15066,24.8812502,2
60.1540763,24.8793159,3
60.156817,24.8850653,7
60.159644,24.877286,8
60.157875,24.86202,2
60.1654485,24.8601992,10
60.1603306,24.8815441,14
60.16478138043,24.90096080349,0
60.1589276,24.909692,5
60.159296,24.916241,26
60.161506,24.921552,1
60.156838,24.920661,2
60.15352968178976,24.93125406706023,23
60.155309,24.9591271,0
60.1600875931318,24.9340656851357,4
60.16876693,24.9308082,5
60.17952585,24.9508981,9
60.16185747,24.93680505,6
60.16568017,24.93142157,0
60.1677057,24.93664159,1
60.168323,24.922742,6
60.187715,24.960584,1
60.1615512,24.8926386,10
60.157926,24.936152,13
60.161066,24.903107,1
60.1731473,24.9224112,2
60.1792967,24.9132504,7
60.183137,24.911127,5
60.1838677,24.9198371,1
60.18523632967096,24.91724984112588,6
60.1878352,24.9180102,13
60.1892172,24.9292286,0
60.1894025,24.9205978,5
60.18830908,24.9123717,0
60.19095693226663,24.912827135427882,5
60.1902195,24.9083351,0
60.19150747,24.90134769,4
60.1934696,24.905889,7
60.1882752174,24.95597593163,0
60.1989402,24.9012997,9
60.1975329,24.899261,13
60.1944475,24.8911179,18
60.188399,24.8847362,11
60.1926305828,24.87922144235,13
60.1948358,24.8713963,8
60.19793090756802,24.876221716500662,6
60.1996653,24.8836209,21
60.163151,24.945888,2
60.171128,24.944699,0
60.17367,24.943262,0
60.172191,24.939308,2
60.177847,24.927821,0
60.182941,24.929112,3
60.184273,24.952526,3
60.17314,24.908698,30
60.175586,24.915521,17
60.195214,24.901834,7
60.196781,24.883849,14
60.173929,24.932225,1
60.206142,24.840699,4
60.203852,24.8231,3
60.203892,24.80493,0
60.210735,24.824954,10
60.212508,24.819549,18
60.215112,24.826953,30
60.216067,24.819396,21
60.216222,24.821932,12
60.213443,24.811572,3
60.214193,24.805613,2
60.147974,24.754344,34
60.214666,24.800486,5
60.151041,24.754196,21
60.217261,24.806279,12
60.217311,24.812419,9
60.14754,24.741736,18
60.21881,24.813945,22
60.152343,24.741234,4
60.220254,24.813437,40
60.156258,24.752489,8
60.221019,24.813109,27
60.155689,24.744978,14
