Name,Category Alias,Category Title,Latitude,Longitude,Distance,Price,Rating
Chinaman,chinese,Chinese,60.2639999,25.0267696,554.9947928293507,€,3.7
Rioni,georgian,Georgian,60.1633752578126,24.7746841309005,1108.1092375292856,,5.0
Yuzu,sushi,Sushi Bars,60.1629791,24.7752705,1001.1145116929895,€€,4.0
Tvijälp,hiking,Hiking,60.1559021437028,24.806227684021,838.222340342164,,4.0
Prithvi Planet,indpak,Indian,60.1627568540029,24.7922480106354,507.3044098059037,€€,4.0
Ravintola E. T. Charlie,buffets,Buffets,60.1603699,24.7620792,987.2251878909636,€€,3.3
Kotipizza,pizza,Pizza,60.1631317,24.7753506,1036.5130184939796,,3.0
Bites Vallila,burgers,Burgers,60.1956497023996,24.9511537262297,1175.725271641676,€,4.6
KOKORO Sushi,sushi,Sushi Bars,60.19418,24.95073,1255.2806818995762,,5.0
African Pots,african,African,60.1975023751287,24.9504869069153,1043.9895601813184,€,4.2
Pasilan kirjasto,libraries,Libraries,60.20084,24.9358101,147.1758527902631,,4.1
Yle,libraries,Libraries,60.2027817,24.9239998,501.27600430984734,,3.9
Savor,buffets,Buffets,60.1971250215486,24.9479781822373,940.1723237138349,€,4.5
Cactus,mexican,Mexican,60.2093331,24.9461591,1132.6650528028595,€€,4.0
Old Sophie,bars,Bars,60.208830363413,24.9476967683157,1146.9018983419612,€€,3.4
Mala,sushi,Sushi Bars,60.1990395,24.937851,363.5119095647178,€€,3.5
South China,chinese,Chinese,60.2006607,24.9346504,80.81745283377344,,3.2
Nellu Pub,pubs,Pubs,60.1986809,24.9335194,344.73161363597916,€€€,3.2
Keskuspuiston koirapuisto,dog_parks,Dog Parks,60.1991692,24.9217701,693.1100340506079,,3.7
Factory Bistro Vallila,bistros,Bistros,60.196677432164,24.9474621138246,942.4822826419235,,4.0
Thai-Asia Take-Away,restaurants,Restaurants,60.19841,24.9410801,525.2985587872349,€,4.0
Helsingin Kaupunginkirjasto,libraries,Libraries,60.200751688915,24.9361187552577,171.63499097620172,,4.0
Natha,yoga,Yoga,60.1970406,24.9499092,1037.1522561268364,,4.0
Everest,himalayan,Himalayan/Nepalese,60.1953392,24.9472103,1055.16156117581,,4.0
