Name,Latitude,Longitude,Distance,Price,Rating,Distance_mean,Distance_min,Distance_max,Bike Spots Near,Category,Rounded Latitude,Rounded Longitude,Rounded Distance,Rounded Distance_mean
Ravintola Vinkkeli,60.1639,24.94641,993.930058822834,Most Expensive,5.0,652.8205532915579,104.41720654848194,993.930058822834,28,Modern European,60.164,24.946,993.93,652.821
Baskeri &  Basso,60.1578732195411,24.934694096446,906.269558632848,Affordable,4.8,673.1161654815522,83.377592852761,978.824141867706,16,Bistros,60.158,24.935,906.27,673.116
Chef & Sommelier,60.15766,24.94254,489.112497591164,Most Expensive,4.8,641.8000232845052,134.0349747295965,943.5114574717826,14,Scandinavian,60.158,24.943,489.112,641.8
Spis,60.1636314,24.9476795,910.6672731402788,Most Expensive,4.8,636.8836587710006,122.4489281522304,951.2688269884484,24,Scandinavian,60.164,24.948,910.667,636.884
Ani,60.1571504587047,24.9336607849584,941.0722312564532,Affordable,4.5,718.8399486755033,163.3613310531659,995.2544012137952,16,Turkish,60.157,24.934,941.072,718.84
Ora,60.15766,24.94254,489.3292885674878,Not Listed,5.0,641.9922684772204,134.69811087674998,943.8870337145518,14,Scandinavian,60.158,24.943,489.329,641.992
Vibami,60.1631,24.94172,999.7793882072192,Affordable,4.5,653.5198639216223,114.27529893805512,999.7793882072192,29,Vietnamese,60.163,24.942,999.779,653.52
Brooklyn Cafe,60.16131,24.94182,953.5761843731152,Most Affordable,4.3,746.1065501787746,378.070028681028,997.9905164925478,10,Bagels,60.161,24.942,953.576,746.107
Saslik,60.15868,24.9485092,374.3312075369629,Most Expensive,4.3,582.7693778772843,222.23929950828204,828.3551018944814,7,Russian,60.159,24.949,374.331,582.769
Ravintola Natura,60.16369,24.94181,997.2829620182888,Most Expensive,4.3,791.5470305622207,603.3685555260206,997.2829620182888,6,Scandinavian,60.164,24.942,997.283,791.547
BrewDog,60.16062,24.9425199,738.4746753255616,Affordable,4.3,571.9049409267193,314.0693268513343,777.7684144296958,4,Pubs,60.161,24.943,738.475,571.905
Ravintola Maxill,60.1604385,24.9461498,592.4551392509404,Expensive,4.3,585.4201541906812,255.75264595360383,899.262831930994,5,Food,60.16,24.946,592.455,585.42
SIS. Deli & Café,60.16077,24.94634,602.7099307819682,Most Affordable,4.3,591.5950920679132,265.1322016151954,906.9724150128528,5,Coffee & Tea,60.161,24.946,602.71,591.595
Healthinki,60.15853,24.94482,440.8381597740948,Not Listed,5.0,679.7656614630985,440.8381597740948,920.557872753072,5,Coffee & Tea,60.159,24.945,440.838,679.766
Ravintola Saaristo,60.1593617088918,24.9655079841614,949.8309938149335,Expensive,4.5,669.936497617938,541.0491949436322,949.8309938149335,4,Scandinavian,60.159,24.966,949.831,669.936
Green Hippo Cafe,60.1617042372927,24.9400799771933,900.648474439206,Not Listed,5.0,758.6046353610581,474.3663852933765,900.7990463505917,3,Breakfast & Brunch,60.162,24.94,900.648,758.605
Basbas & Staff,60.1577364126093,24.9338689818978,945.584238972534,Expensive,4.5,817.873508918117,492.0493763638862,992.9778066507346,6,Wine Bars,60.158,24.934,945.584,817.874
Bar Llamas,60.163398803427,24.942201278584,995.9256592949264,Affordable,4.2,995.9256592949264,995.9256592949264,995.9256592949264,1,Bars,60.163,24.942,995.926,995.926
Juuri,60.1639155047475,24.9462911852249,972.5112412558112,Most Expensive,4.2,972.5112412558112,972.5112412558112,972.5112412558112,1,Scandinavian,60.164,24.946,972.511,972.511
SIS. Deli & Cafe,60.1604797,24.9405534,780.9484720334412,Affordable,4.2,855.3686133835955,780.9484720334412,929.7887547337498,2,Delis,60.16,24.941,780.948,855.369
Pastis,60.1641857,24.947771,986.894203131646,Expensive,4.2,986.894203131646,986.894203131646,986.894203131646,1,French,60.164,24.948,986.894,986.894
Ravintola Il Bucatino,60.15754,24.93474,901.4907210654006,Expensive,4.7,754.2502950616142,498.4497925034447,901.4907210654006,4,Italian,60.158,24.935,901.491,754.25
Pikku Georgia,60.16131,24.94182,797.0926520158107,Most Affordable,4.7,797.0926520158107,797.0926520158107,797.0926520158107,1,Bakeries,60.161,24.942,797.093,797.093
Sea Horse,60.1587659907993,24.9465446755218,428.09391463128657,Expensive,4.2,611.2808455853387,428.09391463128657,794.467776539391,2,Scandinavian,60.159,24.947,428.094,611.281
Latva,60.1635895,24.9464207,927.597118391922,Affordable,4.2,927.597118391922,927.597118391922,927.597118391922,1,Wine Bars,60.164,24.946,927.597,927.597
Kanniston Leipomo,60.1592484,24.9364109,854.8739879761031,Most Affordable,4.1,838.7216898956702,717.9765649122565,943.3145167986509,3,Bakeries,60.159,24.936,854.874,838.722
Alfons Pizza,60.1592496381371,24.9423121020166,615.2987723887821,Affordable,4.1,749.2508483231121,615.2987723887821,883.2029242574421,2,Pizza,60.159,24.942,615.299,749.251
Taquería El Rey,60.15891,24.94335,560.563437367061,Affordable,4.1,811.86830754235,560.563437367061,967.9907344267046,3,Mexican,60.159,24.943,560.563,811.868
Skiffer Liuskaluoto,60.1527839520019,24.9464321136475,361.1530012377918,Affordable,4.1,652.3742935931621,361.1530012377918,841.1850461553871,3,Pizza,60.153,24.946,361.153,652.374
