Data Point,Foursquare Name,Foursquare Popularity,Foursquare Price,Matched Name,Yelp Name,Yelp Price,Search,Category,Rounded Latitude,Rounded Longitude,Rating
Point of Interest,10 Hammas,0.0,Not Listed,10 Hammas,10 Hammas,Not Listed,15007,Dentist,60.211,25.08,8.0
Point of Interest,,,,,100 Dogs,Affordable,cocktailbars,Cocktail Bars,60.167,24.931,8.6
Point of Interest,,,,,3 Amigos,Not Listed,mexican,Mexican,60.219,24.813,6.0
Point of Interest,3Amigos,0.9709768170649192,Most Affordable,3 Amigos,3 Amigos,Most Affordable,13305,Burrito Restaurant,60.293,25.037,4.95
Point of Interest,60° Bar & Brewery,0.9951568676329192,Not Listed,60° Bar & Brewery,,,13006,Beer Bar,60.316,24.972,5.1
Point of Interest,,,,,60° Bar & Brewery,Expensive,bars,Bars,60.317,24.97,9.0
Point of Interest,,,,,99 burgers,Not Listed,burgers,Burgers,60.228,24.963,6.0
Point of Interest,99 Burgers,0.954020108625372,Most Affordable,99 burgers,,,13145,Fast Food Restaurant,60.229,24.962,6.6
Point of Interest,,,,,A  Li Shan,Most Affordable,chinese,Chinese,60.22,24.94,6.0
Point of Interest,,,,,A-Hana,Not Listed,bars,Bars,60.275,25.031,6.0
Point of Interest,,,,,A21 Decades,Expensive,lounges,Lounges,60.167,24.937,8.8
Point of Interest,,,,,ABC Deli,Not Listed,delis,Delis,60.245,24.848,10.0
Point of Interest,,,,,Aa Han Thai,Not Listed,thai,Thai,60.173,24.92,8.6
Point of Interest,,,,,Aalto-yliopiston Rafla,Not Listed,comfortfood,Comfort Food,60.172,24.923,8.6
Point of Interest,,,,,Aalto-yliopiston kirjasto,Not Listed,libraries,Libraries,60.17,24.922,10.0
Point of Interest,,,,,Aangan,Affordable,himalayan,Himalayan/Nepalese,60.163,24.927,8.6
Point of Interest,Aangan,0.9700310358205096,Not Listed,Aangan,,,13194,Himalayan Restaurant,60.163,24.928,8.3
Point of Interest,,,,,Aapelin Baari,Affordable,bars,Bars,60.238,25.084,5.4
Point of Interest,,,,,Add Café,Not Listed,coffee,Coffee & Tea,60.189,24.826,10.0
Point of Interest,Addis Ethiopian Kitchen,0.9259100607784818,Affordable,Addis Ethiopian Kitchen,Addis Ethiopian Kitchen,Not Listed,13143,Ethiopian Restaurant,60.194,24.956,8.6
Point of Interest,,,,,African Pots,Most Affordable,african,African,60.198,24.95,8.4
Point of Interest,,,,,Agenttitalon hammaslääkärit,Not Listed,dentists,Dentists,60.212,25.081,8.0
Point of Interest,,,,,Alfons Pizza,Affordable,pizza,Pizza,60.159,24.942,8.2
Point of Interest,,,,,Alia,Expensive,buffets,Buffets,60.181,24.994,8.0
Point of Interest,Albina,0.9874321091426356,Affordable,Alia,,,13025,Wine Bar,60.193,24.945,8.1
Point of Interest,,,,,Allun Grilli Moottori-Ravintola,Affordable,bbq,Barbeque,60.265,24.853,9.0
Point of Interest,,,,,Almost@Home Lounge,Most Affordable,airportlounges,Airport Lounges,60.318,24.964,9.4
Point of Interest,Alppilan Huone,0.960025216604164,Affordable,Alppilan Huone,,,13003,Bar,60.191,24.946,8.3
Point of Interest,,,,,Alppilan Huone,Not Listed,vietnamese,Vietnamese,60.191,24.947,6.0
Point of Interest,Kaivopuiston koira-aitaus,0.92014742014742,Not Listed,Alppipuiston koira-aitaus,,,16033,Dog Park,60.157,24.952,7.2
Point of Interest,,,,,Alppipuiston koira-aitaus,Not Listed,dog_parks,Dog Parks,60.192,24.935,4.0
Point of Interest,Haruspuiston koira-aitaus,0.6161499418078366,Not Listed,Alppipuiston koira-aitaus,,,16033,Dog Park,60.201,25.119,
Point of Interest,Taiteilijapuiston koira-aitaus,0.1971582826845984,Not Listed,Alppipuiston koira-aitaus,,,16033,Dog Park,60.227,24.969,
Point of Interest,Illenpuiston koira-aitaus,0.2556176774331398,Not Listed,Alppipuiston koira-aitaus,,,16033,Dog Park,60.281,24.967,
Point of Interest,,,,,Amarillo,Expensive,"bbq, tex-mex","Barbeque, Tex-Mex",60.291,24.969,7.2
Point of Interest,Amarillo,0.9418824115950286,Most Affordable,Amarillo,Amarillo,Expensive,13032,"Cafe, Coffee, And Tea House",60.291,25.042,5.1
Point of Interest,,,,,Americana Pizzeria,Not Listed,pizza,Pizza,60.18,24.95,10.0
Point of Interest,,,,,Amica Ravintolat Akavatalo,Not Listed,restaurants,Restaurants,60.201,24.937,6.0
Point of Interest,,,,,Amsterdam,Affordable,pubs,Pubs,60.163,24.914,7.0
Point of Interest,,,,,Ananas Pizzeria,Not Listed,restaurants,Restaurants,60.301,24.856,10.0
Point of Interest,,,,,Ani,Affordable,turkish,Turkish,60.157,24.934,9.0
Point of Interest,,,,,Annapurna,Affordable,himalayan,Himalayan/Nepalese,60.162,24.94,7.6
Point of Interest,Antep Pizza Kebab,0.9452654819985044,Most Affordable,Antep Pizza Kebab,Antep Pizza Kebab,Not Listed,13032,"Cafe, Coffee, And Tea House",60.243,25.111,6.0
Point of Interest,,,,,Antiokia Atabar,Affordable,turkish,Turkish,60.164,24.928,8.2
Point of Interest,Apéro,0.9855246993404888,Affordable,Apéro,Apéro,Affordable,13010,Dive Bar,60.164,24.93,8.5
Point of Interest,,,,,Arabiakeskus,Not Listed,libraries,Libraries,60.209,24.977,6.0
Point of Interest,,,,,Arabianrannan kirjasto,Not Listed,libraries,Libraries,60.209,24.977,7.0
Point of Interest,,,,,Arctic Bar,Expensive,bars,Bars,60.318,24.965,10.0
Point of Interest,,,,,Armenian Grill House,Not Listed,food,Food,60.162,24.939,10.0
