Foursquare Name,Foursquare Popularity,Foursquare Price,Matched Name,Yelp Name,Yelp Price,Search,Category,Rounded Latitude,Rounded Longitude,Rating,Free Bikes
Gula Villan,0.3051231542965978,Expensive,Gula Villan,Gula Villan,Affordable,13032,"Cafe, Coffee, And Tea House",60.141,24.757,8.2,0.0
Iso-Vasikkasaaren kahvila,0.0,Not Listed,,,,13034,Café,60.141,24.757,0.0,0.0
Villa Pentry,0.9826006003113916,Affordable,Villa Pentry,Villa Pentry,Not Listed,13336,Scandinavian Restaurant,60.145,24.736,8.85,0.0
Grande Buffet,0.9492598007263008,Not Listed,,,,13030,Buffet,60.145,24.914,0.0,0.0
Toten seinä,0.8850580247508065,Affordable,,,,13073,Australian Restaurant,60.146,24.752,0.0,0.0
Lauttasaaren Koiraranta,0.2206048752101383,Not Listed,Lauttasaaren Kirjasto,,,16033,Dog Park,60.146,24.89,0.0,0.0
Наша Дорога,0.4639186641302483,Not Listed,,,,16019,Hiking Trail,60.146,24.91,0.0,0.0
Hammashoitopalvelu Ojanperä Oy,0.0,Not Listed,,,,15007,Dentist,60.147,24.737,0.0,0.0
HSL E3144 Nuottaniemi,0.9637405499109164,Not Listed,,,,19043,Bus Stop,60.147,24.743,0.0,0.0
,,,,Paseo,Not Listed,coffee,Coffee & Tea,60.147,24.883,4.0,0.0
Paseo Cafe & Grill,0.9945848959006852,Not Listed,,,,13065,Restaurant,60.147,24.883,7.8,0.0
Espoon Rantaraitti,0.9887963275067816,Not Listed,,,,16019,Hiking Trail,60.148,24.739,0.0,0.0
,,,,,,,,60.148,24.742,2.5561569451742865,18.0
,,,,Nokkalan Majakka,Not Listed,modern_european,Modern European,60.148,24.753,8.0,0.0
,,,,,,,,60.148,24.754,2.5561569451742865,34.0
Majakan Terassi,0.9224731545240044,Affordable,,,,13026,Bbq Joint,60.148,24.755,0.0,0.0
Nokkalan Majakka,0.9960674788526668,Most Affordable,Nokkalan Majakka,,,13034,Café,60.148,24.756,8.7,0.0
Veijarivuoren puiston koira-aitaus,0.0830127376180007,Not Listed,,,,16033,Dog Park,60.148,24.889,0.0,0.0
Bar Naissaar,0.753239981270942,Not Listed,,,,13027,Bistro,60.148,24.904,0.0,0.0
Seaside Bar,0.9469978143465504,Expensive,Seaside Garden,,,13009,Cocktail Bar,60.148,24.917,0.0,0.0
HSL 1196 Hernesaaren laituri,0.6275135781714729,Not Listed,,,,19043,Bus Stop,60.148,24.924,0.0,0.0
,,,,Hanko Sushi,Not Listed,"japanese, sushi","Japanese, Sushi Bars",60.148,24.925,8.0,0.0
,,,,Piece 'n' Love Pizza,Not Listed,pizza,Pizza,60.148,24.926,8.0,0.0
Nuottaniemen Koirakenttä,0.1493234458515914,Not Listed,,,,16033,Dog Park,60.149,24.742,0.0,0.0
HSL E3112 Nokkalanniemi,0.9428420089565176,Not Listed,,,,19043,Bus Stop,60.149,24.748,0.0,0.0
HSL E3113 Nokkalanniemi,0.9702091459206112,Not Listed,,,,19043,Bus Stop,60.149,24.749,0.0,0.0
Moola,0.0677534592008276,Not Listed,Moola,,,18028,Yoga Studio,60.149,24.878,0.0,0.0
Hammaslääkäri Annika Ylä-Autio,0.0,Not Listed,,,,15007,Dentist,60.149,24.878,0.0,0.0
Ravintola Maharaja,0.9831566015776542,Affordable,,,,13072,Asian Restaurant,60.149,24.879,0.0,0.0
Ravintola Wanha Herra,0.9924835122203544,Affordable,,,,13003,Bar,60.149,24.882,6.8,0.0
Joanna's,0.6376406310616837,Not Listed,,,,13030,Buffet,60.149,24.882,0.0,0.0
,,,,Wanha Herra,Not Listed,pubs,Pubs,60.149,24.883,6.0,0.0
Eckerö Buffet,0.9901379899915638,Not Listed,,,,13030,Buffet,60.149,24.913,0.0,0.0
