Name,Category ID,Category Name,Latitude,Longitude,Distance,Popularity,Price,Rating,Description
Ravintola Paulette,13148,French Restaurant,60.158526,24.945557,435,0.9815886460623303,2.0,9.1,
Kaffa Roastery,13034,Café,60.158463,24.934133,939,0.992038988749515,2.0,9.0,
Daddy Greens Pizzabar - Iso Roobertinkatu,13064,Pizzeria,60.16284,24.940647,984,0.9811279581016423,1.0,8.8,"Daddy Greens Pizzabar is a pizzeria in Töölö and Iso Roba, Helsinki. We specialize in a unique NYC-Neapolitan style pizza with chewy, crispy, tangy and charred crust."
Ravintola Skiffer,13064,Pizzeria,60.152901,24.946306,354,0.9677014019431269,2.0,8.7,
Ravintola Pastis,13148,French Restaurant,60.164127,24.947772,979,0.9820493340230182,2.0,8.6,Autenttinen maalaisranskalainen keittiö ja tunnelma sekä läsnäoleva ja yksilöllinen palvelu tekevät Kaartin kaupunginosassa sijaitsevasta Pastiksesta unohtumattoman kokemuksen. Pieni pala Pariisia Helsingin kiinnostavimmalla ravintolakadulla.
Restaurant Elm,13065,Restaurant,60.156974,24.952636,217,0.9895173283331178,,8.6,
Café Succès,13034,Café,60.159946,24.946425,548,0.9909963791542739,1.0,8.5,Leivonnaisistaan ja erityisesti korvapuusteistaan tunnettu kahvila ja leipomo Helsingin Ullanlinnassa Korkeavuorenkadulla.
BasBas Kulma,13065,Restaurant,60.158246,24.934388,935,0.9713646062330273,,8.4,
Kanniston Leipomo myymälä,13002,Bakery,60.159244,24.936898,855,0.984514418724945,1.0,8.4,
Mattolaituri,13025,Wine Bar,60.153817,24.95591,356,0.9713241950084055,4.0,8.2,
Boneless Ullanlinna,13055,Fried Chicken Joint,60.159167,24.94489,514,0.9737973619552567,1.0,8.2,
Pontus,13027,Bistro,60.159031,24.946071,466,0.9778708133971292,,8.2,Ullanlinnalainen korttelibistro ja viinibaari.
Ravintola Maxill,13148,French Restaurant,60.160412,24.94631,599,0.9716636492952282,2.0,8.1,"Ravintolamme. Vuonna 1992 perustettu Maxill tunnetaan ravintolana, jonka leppoisa ilmapiiri on sekä keittiön että uskollisen asiakas­kunnan ansiota. Lounas tarjotaan arkisin klo 11.30-16.00."
Punavuoren Ahven,13006,Beer Bar,60.160976,24.937724,931,0.9957568214147161,2.0,8.1,"Punavuoren Ahven on kaunis ja lämminhenkinen olutravintola Rööperin sydämessä. Ravintolassa on laaja olut- ja siiderivalikoima sekä 28 hengen kabinetti, jossa on myös ruokailumahdollisuus palaverien ja juhlien yhteydessä."
Ravintola,13034,Café,60.15308,24.952519,285,0.9830111211690159,2.0,8.0,"Tunnelmallinen ravintola Helsingin edustalla. Ravintola Uunisaari tarjoaa mitä parhaimmat puitteet juhliin, yritystilaisuuksiin, kokouksiin ja saunailtoihin. Vanhat punatiiliseinät luovat lämpimän ja juhlallisen tunnelman..."
Restaurant Manna,13289,Korean Restaurant,60.160486,24.939111,837,0.9480069184016553,2.0,8.0,
Forza,13064,Pizzeria,60.158477,24.933881,970,0.9847892150523729,1.0,8.0,
Ravintola NJK,13065,Restaurant,60.161257,24.964016,999,0.9458408767619294,,8.0,
Cafe Compass,13034,Café,60.155124,24.951613,78,0.980198499935342,1.0,7.9,
Sea Horse,13336,Scandinavian Restaurant,60.158641,24.946546,415,0.9807076813655761,2.0,7.8,Suomalaista ruokaa ja kulttuuria vuodesta 1934.
Kahvila-Suomi (Kamome),13034,Café,60.159571,24.938757,788,0.9727870813397129,2.0,7.6,"Kamome is a small restaurant of about 45 seats in the Design district of Helsinki, where we present a Japanese and Nordic mixture in food & style, so both culinary and in the interior. Original Japanese and traditional North European dishes and drinks, a simple pleasant decor and nice dishware."
Ravintola Primula,13064,Pizzeria,60.160484,24.941596,742,0.9822998836156731,1.0,7.6,"Skiffer Viiskulma on ketjun lippulaivaravintola missä yhdistyy Skiffer -konseptin kolme osa-aluetta: ruokaravintola Skiffer, sen yhteydessä Skiffer Navigation Lounge mikä on rento hengähdyspaikka sohvaryhmineen ja nojatuoleineen."
Ravintola Monal,13072,Asian Restaurant,60.163079,24.941937,970,0.9651736066209751,,7.5,
Goldfish,13009,Cocktail Bar,60.162534,24.946662,817,0.9789457519720678,3.0,7.5,
Café Ursula,13034,Café,60.155223,24.960745,577,0.9961770981507824,3.0,7.3,"Café Ursula on suosittu olohuone kaupunkilaisille ja turisteille. Rauhoittuminen kaupungin huumasta on mahdollista aivan keskustan tuntumassa. Tarjoilemme laajan valikoiman suolaisia ja makeita herkkuja, kotimaisia makuja tarjoavan lounaan, sunnuntaibrunssin sekä valikoiman kahveja ja teetä."
Café Carusel,13034,Café,60.153769,24.942543,465,0.996977240398293,2.0,7.1,"Talo meren rannalla. Carusel on koko perheen kahvila ja leipomo meren syleilyssä aivan Helsingin keskustan kupeessa. Vuodesta 1996 perheyrityksemme on yhdistänyt laadukkaita raaka-aineita, vihreitä arvoja ja kodikasta tunnelmaa."
Ravintola Saari,13336,Scandinavian Restaurant,60.152076,24.942346,574,0.936530130609078,3.0,6.9,
Old Skipper's,10032,Night Club,60.160484,24.941596,749,0.9731831113410061,3.0,6.9,
