Data Point,Free Bikes,Rounded Latitude,Rounded Longitude
Bike Spot,24,60.155,24.95
Bike Spot,3,60.161,24.956
Bike Spot,6,60.158,24.945
Bike Spot,0,60.161,24.942
Bike Spot,11,60.162,24.93
Bike Spot,3,60.165,24.939
Bike Spot,1,60.167,24.944
Bike Spot,4,60.165,24.949
Bike Spot,15,60.167,24.951
Bike Spot,24,60.168,24.958
Bike Spot,1,60.168,24.976
Bike Spot,10,60.169,24.952
Bike Spot,6,60.171,24.956
Bike Spot,7,60.174,24.962
Bike Spot,0,60.173,24.95
Bike Spot,1,60.17,24.949
Bike Spot,1,60.171,24.94
Bike Spot,0,60.171,24.937
Bike Spot,0,60.17,24.935
Bike Spot,1,60.166,24.927
Bike Spot,6,60.164,24.923
Bike Spot,5,60.164,24.915
Bike Spot,1,60.171,24.932
Bike Spot,2,60.171,24.925
Bike Spot,3,60.174,24.928
Bike Spot,3,60.176,24.922
Bike Spot,1,60.179,24.925
Bike Spot,6,60.181,24.949
Bike Spot,9,60.182,24.957
Bike Spot,3,60.187,24.951
Bike Spot,4,60.187,24.943
Bike Spot,0,60.165,24.954
Bike Spot,15,60.165,24.967
Bike Spot,1,60.163,24.942
Bike Spot,5,60.15,24.886
Bike Spot,2,60.151,24.881
Bike Spot,3,60.154,24.879
Bike Spot,7,60.157,24.885
Bike Spot,8,60.16,24.877
Bike Spot,2,60.158,24.862
Bike Spot,10,60.165,24.86
Bike Spot,14,60.16,24.882
Bike Spot,0,60.165,24.901
Bike Spot,5,60.159,24.91
Bike Spot,26,60.159,24.916
Bike Spot,1,60.162,24.922
Bike Spot,2,60.157,24.921
Bike Spot,23,60.154,24.931
Bike Spot,0,60.155,24.959
Bike Spot,4,60.16,24.934
Bike Spot,5,60.169,24.931
Bike Spot,9,60.18,24.951
Bike Spot,6,60.162,24.937
Bike Spot,0,60.166,24.931
Bike Spot,1,60.168,24.937
Bike Spot,6,60.168,24.923
Bike Spot,1,60.188,24.961
Bike Spot,10,60.162,24.893
Bike Spot,13,60.158,24.936
Bike Spot,1,60.161,24.903
Bike Spot,2,60.173,24.922
Bike Spot,7,60.179,24.913
Bike Spot,5,60.183,24.911
Bike Spot,1,60.184,24.92
Bike Spot,6,60.185,24.917
Bike Spot,13,60.188,24.918
Bike Spot,0,60.189,24.929
Bike Spot,5,60.189,24.921
Bike Spot,0,60.188,24.912
Bike Spot,5,60.191,24.913
Bike Spot,0,60.19,24.908
Bike Spot,4,60.192,24.901
Bike Spot,7,60.193,24.906
Bike Spot,0,60.188,24.956
Bike Spot,9,60.199,24.901
Bike Spot,13,60.198,24.899
Bike Spot,18,60.194,24.891
Bike Spot,11,60.188,24.885
Bike Spot,13,60.193,24.879
Bike Spot,8,60.195,24.871
Bike Spot,6,60.198,24.876
Bike Spot,21,60.2,24.884
Bike Spot,2,60.163,24.946
Bike Spot,0,60.171,24.945
Bike Spot,0,60.174,24.943
Bike Spot,2,60.172,24.939
Bike Spot,0,60.178,24.928
Bike Spot,3,60.183,24.929
Bike Spot,3,60.184,24.953
Bike Spot,30,60.173,24.909
Bike Spot,17,60.176,24.916
Bike Spot,7,60.195,24.902
Bike Spot,14,60.197,24.884
Bike Spot,1,60.174,24.932
Bike Spot,4,60.206,24.841
Bike Spot,3,60.204,24.823
Bike Spot,0,60.204,24.805
Bike Spot,10,60.211,24.825
Bike Spot,18,60.213,24.82
Bike Spot,30,60.215,24.827
Bike Spot,21,60.216,24.819
Bike Spot,12,60.216,24.822
Bike Spot,3,60.213,24.812
Bike Spot,2,60.214,24.806
Bike Spot,34,60.148,24.754
Bike Spot,5,60.215,24.8
Bike Spot,21,60.151,24.754
Bike Spot,12,60.217,24.806
Bike Spot,9,60.217,24.812
Bike Spot,18,60.148,24.742
Bike Spot,22,60.219,24.814
Bike Spot,4,60.152,24.741
Bike Spot,40,60.22,24.813
Bike Spot,8,60.156,24.752
Bike Spot,27,60.221,24.813
Bike Spot,14,60.156,24.745
Bike Spot,0,60.222,24.818
Bike Spot,2,60.157,24.738
Bike Spot,3,60.224,24.812
Bike Spot,11,60.154,24.729
Bike Spot,4,60.224,24.826
Bike Spot,5,60.161,24.725
Bike Spot,9,60.222,24.805
Bike Spot,15,60.161,24.756
Bike Spot,4,60.166,24.84
Bike Spot,0,60.162,24.747
Bike Spot,6,60.169,24.831
Bike Spot,12,60.225,24.801
Bike Spot,2,60.16,24.74
Bike Spot,10,60.168,24.806
Bike Spot,8,60.226,24.805
Bike Spot,1,60.162,24.738
Bike Spot,5,60.168,24.796
Bike Spot,9,60.228,24.814
Bike Spot,8,60.166,24.733
Bike Spot,5,60.172,24.803
Bike Spot,11,60.228,24.82
Bike Spot,16,60.163,24.721
Bike Spot,18,60.173,24.811
Bike Spot,19,60.234,24.814
Bike Spot,11,60.169,24.725
Bike Spot,19,60.174,24.791
Bike Spot,15,60.23,24.825
Bike Spot,8,60.173,24.726
Bike Spot,0,60.176,24.793
Bike Spot,7,60.235,24.831
Bike Spot,1,60.175,24.729
Bike Spot,2,60.175,24.802
Bike Spot,3,60.172,24.807
Bike Spot,1,60.175,24.738
Bike Spot,0,60.176,24.806
Bike Spot,17,60.22,24.839
Bike Spot,1,60.167,24.736
Bike Spot,7,60.184,24.857
Bike Spot,3,60.178,24.804
Bike Spot,8,60.221,24.834
Bike Spot,34,60.163,24.855
Bike Spot,2,60.172,24.731
Bike Spot,11,60.155,24.91
Bike Spot,2,60.179,24.798
Bike Spot,11,60.19,24.978
Bike Spot,3,60.168,24.744
Bike Spot,33,60.181,24.976
Bike Spot,6,60.179,24.811
Bike Spot,1,60.223,24.821
Bike Spot,31,60.164,25.062
Bike Spot,6,60.173,24.746
Bike Spot,1,60.205,24.808
Bike Spot,10,60.179,24.817
Bike Spot,12,60.175,24.752
Bike Spot,11,60.175,24.829
Bike Spot,21,60.185,24.745
Bike Spot,0,60.179,24.835
Bike Spot,4,60.18,24.832
Bike Spot,18,60.187,24.743
Bike Spot,12,60.181,24.825
Bike Spot,2,60.185,24.814
Bike Spot,6,60.184,24.817
Bike Spot,5,60.185,24.82
Bike Spot,1,60.184,24.827
Bike Spot,13,60.203,25.159
Bike Spot,22,60.185,24.837
Bike Spot,5,60.205,25.158
Bike Spot,11,60.205,25.152
Bike Spot,1,60.188,24.83
Bike Spot,19,60.201,25.15
Bike Spot,19,60.202,25.143
Bike Spot,10,60.188,24.836
Bike Spot,2,60.206,25.146
Bike Spot,1,60.207,25.141
Bike Spot,2,60.188,24.811
Bike Spot,1,60.208,25.144
Bike Spot,21,60.204,25.136
Bike Spot,1,60.189,24.807
Bike Spot,12,60.202,25.128
Bike Spot,15,60.2,25.12
Bike Spot,0,60.187,24.806
Bike Spot,2,60.204,25.119
Bike Spot,20,60.206,25.12
Bike Spot,4,60.185,24.804
Bike Spot,10,60.21,25.137
Bike Spot,1,60.212,25.153
Bike Spot,7,60.187,24.797
Bike Spot,13,60.214,25.147
Bike Spot,3,60.219,25.147
Bike Spot,6,60.183,24.794
Bike Spot,7,60.221,25.141
Bike Spot,5,60.22,25.134
Bike Spot,15,60.183,24.786
Bike Spot,4,60.214,25.134
Bike Spot,0,60.15,24.916
Bike Spot,6,60.221,25.111
Bike Spot,18,60.189,24.78
Bike Spot,12,60.157,24.912
Bike Spot,24,60.231,25.128
Bike Spot,2,60.181,24.962
Bike Spot,4,60.237,25.118
Bike Spot,28,60.195,24.769
Bike Spot,2,60.199,24.938
Bike Spot,35,60.233,25.111
Bike Spot,0,60.206,24.962
Bike Spot,36,60.239,25.11
Bike Spot,0,60.207,24.922
Bike Spot,12,60.239,25.101
Bike Spot,4,60.208,24.899
Bike Spot,7,60.23,25.09
Bike Spot,11,60.211,24.882
Bike Spot,18,60.224,25.083
Bike Spot,0,60.216,24.875
Bike Spot,1,60.228,25.072
Bike Spot,3,60.218,24.871
Bike Spot,4,60.178,24.785
Bike Spot,5,60.236,25.083
Bike Spot,8,60.219,24.856
Bike Spot,8,60.241,25.086
Bike Spot,11,60.175,24.779
Bike Spot,2,60.212,24.9
Bike Spot,5,60.244,25.076
Bike Spot,4,60.217,24.9
Bike Spot,7,60.24,25.075
Bike Spot,9,60.176,24.77
Bike Spot,2,60.218,24.892
Bike Spot,6,60.239,25.067
Bike Spot,2,60.222,24.876
Bike Spot,31,60.233,25.063
Bike Spot,25,60.18,24.759
Bike Spot,4,60.224,24.858
Bike Spot,11,60.23,25.055
Bike Spot,11,60.227,24.854
Bike Spot,6,60.237,25.052
Bike Spot,30,60.171,24.776
Bike Spot,1,60.227,24.873
Bike Spot,6,60.254,25.074
Bike Spot,8,60.23,24.883
Bike Spot,17,60.259,25.065
Bike Spot,7,60.233,24.887
Bike Spot,14,60.171,24.763
Bike Spot,11,60.261,25.076
Bike Spot,11,60.229,24.895
Bike Spot,10,60.27,25.073
Bike Spot,7,60.166,24.773
Bike Spot,7,60.21,24.869
Bike Spot,5,60.225,24.895
Bike Spot,22,60.27,25.058
Bike Spot,7,60.206,24.88
Bike Spot,3,60.222,24.903
Bike Spot,1,60.224,25.022
Bike Spot,24,60.163,24.776
Bike Spot,6,60.228,24.906
Bike Spot,10,60.275,25.034
Bike Spot,4,60.209,24.89
Bike Spot,19,60.228,24.927
Bike Spot,11,60.166,25.013
Bike Spot,3,60.162,24.768
Bike Spot,17,60.206,24.892
Bike Spot,3,60.231,24.935
Bike Spot,7,60.276,25.028
Bike Spot,8,60.203,24.893
Bike Spot,14,60.239,24.929
Bike Spot,17,60.281,25.011
Bike Spot,23,60.158,24.77
Bike Spot,5,60.203,24.899
Bike Spot,1,60.224,24.953
Bike Spot,9,60.274,24.989
Bike Spot,7,60.202,24.905
Bike Spot,3,60.231,24.949
Bike Spot,13,60.219,24.929
Bike Spot,10,60.205,24.918
Bike Spot,1,60.233,24.958
Bike Spot,24,60.203,24.922
Bike Spot,10,60.155,24.774
Bike Spot,8,60.267,24.993
Bike Spot,14,60.229,24.964
Bike Spot,10,60.268,25.014
Bike Spot,8,60.159,24.782
Bike Spot,0,60.199,24.925
Bike Spot,1,60.234,24.965
Bike Spot,8,60.263,25.028
Bike Spot,4,60.198,24.927
Bike Spot,18,60.228,24.968
Bike Spot,23,60.263,25.037
Bike Spot,3,60.158,24.792
Bike Spot,22,60.201,24.933
Bike Spot,3,60.225,24.973
Bike Spot,12,60.259,25.029
Bike Spot,13,60.162,24.785
Bike Spot,24,60.198,24.933
Bike Spot,17,60.232,24.978
Bike Spot,1,60.261,25.018
Bike Spot,16,60.164,24.79
Bike Spot,3,60.196,24.936
Bike Spot,19,60.217,24.984
Bike Spot,22,60.261,25.003
Bike Spot,7,60.194,24.942
Bike Spot,6,60.224,24.989
Bike Spot,10,60.26,24.99
Bike Spot,27,60.191,24.94
