Name,Category ID,Category Name,Latitude,Longitude,Distance,Popularity,Price,Rating,Distance_mean,Distance_min,Distance_max,Bike Spots Near,Popularity_mean,Popularity_min,Popularity_max
Ravintola Paulette,13148,French Restaurant,60.158526,24.945557,435,0.9815886460623304,Affordable,9.1,576.3333333333334,51,966,6,0.9815886460623305,0.9815886460623304,0.9815886460623304
Kaffa Roastery,13034,Café,60.158463,24.934133,939,0.992038988749515,Affordable,9.0,649.75,112,939,16,0.992038988749515,0.992038988749515,0.992038988749515
Daddy Greens Pizzabar - Iso Roobertinkatu,13064,Pizzeria,60.16284,24.940647,984,0.9811279581016424,Most Affordable,8.8,984.0,984,984,1,0.9811279581016424,0.9811279581016424,0.9811279581016424
Ravintola Skiffer,13064,Pizzeria,60.152901,24.946306,354,0.9677014019431268,Affordable,8.7,647.3333333333334,354,832,3,0.9677014019431268,0.9677014019431268,0.9677014019431268
Ravintola Pastis,13148,French Restaurant,60.164127,24.947772,979,0.9820493340230182,Affordable,8.6,643.95,136,991,20,0.9820493340230183,0.9820493340230182,0.9820493340230182
Restaurant Elm,13065,Restaurant,60.156974,24.952636,217,0.9895173283331178,Not Listed,8.6,677.8,217,940,10,0.9895173283331179,0.9895173283331178,0.9895173283331178
Café Succès,13034,Café,60.159946,24.946425,548,0.990996379154274,Most Affordable,8.5,559.2,211,870,5,0.990996379154274,0.990996379154274,0.990996379154274
BasBas Kulma,13065,Restaurant,60.158246,24.934388,935,0.9713646062330272,Not Listed,8.4,666.2857142857143,107,935,7,0.9713646062330271,0.9713646062330272,0.9713646062330272
Kanniston Leipomo myymälä,13002,Bakery,60.159244,24.936898,855,0.984514418724945,Most Affordable,8.4,833.0,709,935,3,0.9845144187249449,0.984514418724945,0.984514418724945
Mattolaituri,13025,Wine Bar,60.153817,24.95591,356,0.9713241950084056,Most Expensive,8.2,543.5,241,798,4,0.9713241950084056,0.9713241950084056,0.9713241950084056
Boneless Ullanlinna,13055,Fried Chicken Joint,60.159167,24.94489,514,0.9737973619552568,Most Affordable,8.2,796.3333333333334,514,980,3,0.9737973619552568,0.9737973619552568,0.9737973619552568
Pontus,13027,Bistro,60.159031,24.946071,466,0.9778708133971292,Not Listed,8.2,515.0,112,831,5,0.9778708133971292,0.9778708133971292,0.9778708133971292
Ravintola Maxill,13148,French Restaurant,60.160412,24.94631,599,0.9716636492952282,Affordable,8.1,753.0,599,907,2,0.9716636492952282,0.9716636492952282,0.9716636492952282
Punavuoren Ahven,13006,Beer Bar,60.160976,24.937724,931,0.995756821414716,Affordable,8.1,716.2,352,931,5,0.9957568214147161,0.995756821414716,0.995756821414716
Ravintola,13034,Café,60.15308,24.952519,285,0.983011121169016,Affordable,8.0,362.0,285,439,2,0.983011121169016,0.983011121169016,0.983011121169016
Restaurant Manna,13289,Korean Restaurant,60.160486,24.939111,837,0.9480069184016552,Affordable,8.0,862.5,837,888,2,0.9480069184016552,0.9480069184016552,0.9480069184016552
Forza,13064,Pizzeria,60.158477,24.933881,970,0.9847892150523728,Most Affordable,8.0,612.0,143,981,11,0.9847892150523729,0.9847892150523728,0.9847892150523728
Cafe Compass,13034,Café,60.155124,24.951613,78,0.980198499935342,Most Affordable,7.9,629.0,78,951,7,0.980198499935342,0.980198499935342,0.980198499935342
Sea Horse,13336,Scandinavian Restaurant,60.158641,24.946546,415,0.980707681365576,Affordable,7.8,601.0,415,787,2,0.980707681365576,0.980707681365576,0.980707681365576
Kahvila-Suomi (Kamome),13034,Café,60.159571,24.938757,788,0.9727870813397128,Affordable,7.6,789.0,788,790,2,0.9727870813397128,0.9727870813397128,0.9727870813397128
Ravintola Primula,13064,Pizzeria,60.160484,24.941596,742,0.9822998836156732,Most Affordable,7.6,649.0,312,962,5,0.9822998836156731,0.9822998836156732,0.9822998836156732
Ravintola Monal,13072,Asian Restaurant,60.163079,24.941937,970,0.9651736066209752,Not Listed,7.5,970.0,970,970,1,0.9651736066209752,0.9651736066209752,0.9651736066209752
Goldfish,13009,Cocktail Bar,60.162534,24.946662,817,0.9789457519720678,Expensive,7.5,817.0,817,817,1,0.9789457519720678,0.9789457519720678,0.9789457519720678
Café Ursula,13034,Café,60.155223,24.960745,577,0.9961770981507824,Expensive,7.3,572.75,91,936,4,0.9961770981507824,0.9961770981507824,0.9961770981507824
Café Carusel,13034,Café,60.153769,24.942543,465,0.996977240398293,Affordable,7.1,713.625,465,957,8,0.996977240398293,0.996977240398293,0.996977240398293
Ravintola Saari,13336,Scandinavian Restaurant,60.152076,24.942346,574,0.936530130609078,Expensive,6.9,724.8,574,993,5,0.936530130609078,0.936530130609078,0.936530130609078
Old Skipper's,10032,Night Club,60.160484,24.941596,749,0.973183111341006,Expensive,6.9,864.0,749,979,2,0.973183111341006,0.973183111341006,0.973183111341006
Kaivohuone,13003,Bar,60.157545,24.95589,390,0.9795438380964696,Expensive,6.5,512.6,306,871,5,0.9795438380964697,0.9795438380964696,0.9795438380964696
Karaoke Nightclub Club Swengi,13015,Karaoke Bar,60.16347,24.943154,979,0.9862763481184532,Affordable,5.5,979.0,979,979,1,0.9862763481184532,0.9862763481184532,0.9862763481184532
Merimies Pub,13010,Dive Bar,60.160586,24.938199,883,0.9534462692357428,Most Affordable,5.0,878.5,874,883,2,0.9534462692357428,0.9534462692357428,0.9534462692357428
HSL 1177 Eira,19042,Bus Station,60.155865,24.942475,435,0.9887010215957583,Not Listed,Not Rated,675.6666666666666,435,921,3,0.9887010215957583,0.9887010215957583,0.9887010215957583
Ravintola HSS Paviljong,13065,Restaurant,60.151297,24.948369,468,0.956566015776542,Not Listed,Not Rated,728.0,468,975,3,0.956566015776542,0.956566015776542,0.956566015776542
Colas Pizzeria,13064,Pizzeria,60.157401,24.941848,517,0.3587546877020561,Most Affordable,Not Rated,741.6666666666666,517,982,3,0.35875468770205615,0.3587546877020561,0.3587546877020561
Kaivopuiston Hammaslääkäriasema Oy,15007,Dentist,60.160546,24.955174,632,0.9504396741238846,Not Listed,Not Rated,627.0,622,632,2,0.9504396741238846,0.9504396741238846,0.9504396741238846
Kasarmin Kilta ry,11130,Office Building,60.161767,24.947822,720,0.980796586059744,Not Listed,Not Rated,835.5,720,951,2,0.980796586059744,0.980796586059744,0.980796586059744
Viiskulma,13006,Beer Bar,60.160689,24.942361,733,0.9846679813785076,Not Listed,Not Rated,733.0,733,733,1,0.9846679813785076,0.9846679813785076,0.9846679813785076
Momo Punavuori,13137,Dumpling Restaurant,60.160032,24.939921,755,0.5833279451700505,Most Affordable,Not Rated,804.5,755,854,2,0.5833279451700505,0.5833279451700505,0.5833279451700505
Momo House,13137,Dumpling Restaurant,60.159907,24.939928,761,0.9683903401008664,Most Affordable,Not Rated,809.0,761,857,2,0.9683903401008664,0.9683903401008664,0.9683903401008664
Eppu’s Cheesesteaks,13334,Sandwich Spot,60.160529,24.940638,781,0.9781375274796328,Most Affordable,Not Rated,858.5,781,936,2,0.9781375274796328,0.9781375274796328,0.9781375274796328
Via Tribunali,13064,Pizzeria,60.159192,24.93775,811,0.9714858399068924,Most Affordable,Not Rated,768.5,726,811,2,0.9714858399068924,0.9714858399068924,0.9714858399068924
