Yelp Name,Yelp Search,Yelp Category,Latitude,Longitude,Yelp Price,Yelp Rating,Rounded Latitude,Rounded Longitude,ID
Ravintola Vinkkeli,modern_european,Modern European,60.1639,24.94641,Most Expensive,5.0,60.164,24.946,60.164_24.946
Baskeri &  Basso,bistros,Bistros,60.1578732195411,24.934694096446,Affordable,4.8,60.158,24.935,60.158_24.935
Chef & Sommelier,scandinavian,Scandinavian,60.15766,24.94254,Most Expensive,4.8,60.158,24.943,60.158_24.943
Spis,scandinavian,Scandinavian,60.1636314,24.9476795,Most Expensive,4.8,60.164,24.948,60.164_24.948
Ani,turkish,Turkish,60.1571504587047,24.9336607849584,Affordable,4.5,60.157,24.934,60.157_24.934
Ora,scandinavian,Scandinavian,60.15766,24.94254,Not Listed,5.0,60.158,24.943,60.158_24.943
Yes yes yes,vegan,Vegan,60.1642087586756,24.9439802393317,Not Listed,5.0,60.164,24.944,60.164_24.944
Vibami,vietnamese,Vietnamese,60.1631,24.94172,Affordable,4.5,60.163,24.942,60.163_24.942
Tommyknocker,pubs,Pubs,60.1634598,24.9412804,Affordable,4.4,60.163,24.941,60.163_24.941
The Riff,bars,Bars,60.1641388,24.9428196,Affordable,4.4,60.164,24.943,60.164_24.943
Hills Dumplings,dimsum,Dim Sum,60.16441,24.94533,Not Listed,4.4,60.164,24.945,60.164_24.945
Brooklyn Cafe,bagels,Bagels,60.16131,24.94182,Most Affordable,4.3,60.161,24.942,60.161_24.942
Saslik,russian,Russian,60.15868,24.9485092,Most Expensive,4.3,60.159,24.949,60.159_24.949
Istanbul Grilli,turkish,Turkish,60.1629414443893,24.9389866097799,Expensive,4.3,60.163,24.939,60.163_24.939
Ravintola Natura,scandinavian,Scandinavian,60.16369,24.94181,Most Expensive,4.3,60.164,24.942,60.164_24.942
BrewDog,pubs,Pubs,60.16062,24.9425199,Affordable,4.3,60.161,24.943,60.161_24.943
Ravintola Maxill,food,Food,60.1604385,24.9461498,Expensive,4.3,60.16,24.946,60.16_24.946
SIS. Deli & Café,coffee,Coffee & Tea,60.16077,24.94634,Most Affordable,4.3,60.161,24.946,60.161_24.946
Healthinki,coffee,Coffee & Tea,60.15853,24.94482,Not Listed,5.0,60.159,24.945,60.159_24.945
Ravintola Saaristo,scandinavian,Scandinavian,60.1593617088918,24.9655079841614,Expensive,4.5,60.159,24.966,60.159_24.966
Green Hippo Cafe,breakfast_brunch,Breakfast & Brunch,60.1617042372927,24.9400799771933,Not Listed,5.0,60.162,24.94,60.162_24.94
