Name,Category Alias,Category Title,Latitude,Longitude,Distance,Price,Rating
Ravintola Vinkkeli,modern_european,Modern European,60.1639,24.94641,993.930058822834,€€€€,5.0
Baskeri &  Basso,bistros,Bistros,60.1578732195411,24.934694096446,906.2695586328479,€€,4.8
Chef & Sommelier,scandinavian,Scandinavian,60.15766,24.94254,489.112497591164,€€€€,4.8
Spis,scandinavian,Scandinavian,60.1636314,24.9476795,910.6672731402788,€€€€,4.8
Ani,turkish,Turkish,60.1571504587047,24.9336607849584,941.0722312564532,€€,4.5
Ora,scandinavian,Scandinavian,60.15766,24.94254,489.3292885674878,,5.0
Yes yes yes,vegan,Vegan,60.1642087586756,24.9439802393317,1040.0296553283558,,5.0
Vibami,vietnamese,Vietnamese,60.1631,24.94172,999.7793882072193,€€,4.5
Tommyknocker,pubs,Pubs,60.1634598,24.9412804,1014.1044787030405,€€,4.4
The Riff,bars,Bars,60.1641388,24.9428196,1036.5646922228893,€€,4.4
Hills Dumplings,dimsum,Dim Sum,60.16441,24.94533,1035.7998864490492,,4.4
Brooklyn Cafe,bagels,Bagels,60.16131,24.94182,953.5761843731153,€,4.3
Saslik,russian,Russian,60.15868,24.9485092,374.33120753696284,€€€€,4.3
Istanbul Grilli,turkish,Turkish,60.1629414443893,24.9389866097799,1046.437891983303,€€€,4.3
Ravintola Natura,scandinavian,Scandinavian,60.16369,24.94181,997.2829620182887,€€€€,4.3
BrewDog,pubs,Pubs,60.16062,24.9425199,738.4746753255616,€€,4.3
Ravintola Maxill,food,Food,60.1604385,24.9461498,592.4551392509404,€€€,4.3
SIS. Deli & Café,coffee,Coffee & Tea,60.16077,24.94634,602.7099307819682,€,4.3
Healthinki,coffee,Coffee & Tea,60.15853,24.94482,440.83815977409483,,5.0
Ravintola Saaristo,scandinavian,Scandinavian,60.1593617088918,24.9655079841614,949.8309938149337,€€€,4.5
Green Hippo Cafe,breakfast_brunch,Breakfast & Brunch,60.1617042372927,24.9400799771933,900.648474439206,,5.0
Basbas & Staff,wine_bars,Wine Bars,60.1577364126093,24.9338689818978,945.584238972534,€€€,4.5
Bar Llamas,bars,Bars,60.163398803427,24.942201278584,995.9256592949264,€€,4.2
Juuri,scandinavian,Scandinavian,60.1639155047475,24.9462911852249,972.5112412558113,€€€€,4.2
SIS. Deli & Cafe,delicatessen,Delicatessen,60.1604797,24.9405534,780.9484720334412,€€,4.2
Pastis,french,French,60.1641857,24.947771,986.8942031316459,€€€,4.2
Ravintola Il Bucatino,italian,Italian,60.15754,24.93474,901.4907210654006,€€€,4.7
Pikku Georgia,bakeries,Bakeries,60.16131,24.94182,797.0926520158107,€,4.7
Soup & Juice,salad,Salad,60.1637802,24.9365005,1227.0750627276973,€,4.7
Sea Horse,scandinavian,Scandinavian,60.1587659907993,24.9465446755218,428.09391463128657,€€€,4.2
Latva,wine_bars,Wine Bars,60.1635895,24.9464207,927.5971183919219,€€,4.2
Tamarin,thai,Thai,60.1635201795302,24.9418830871582,1015.9453880639926,€€,4.1
Kanniston Leipomo,bakeries,Bakeries,60.1592484,24.9364109,854.8739879761031,€,4.1
Alfons Pizza,pizza,Pizza,60.1592496381371,24.9423121020166,615.2987723887821,€€,4.1
Taquería El Rey,mexican,Mexican,60.15891,24.94335,560.563437367061,€€,4.1
Skiffer Liuskaluoto,pizza,Pizza,60.1527839520019,24.9464321136475,361.1530012377918,€€,4.1
Il Birrificio,bistros,Bistros,60.1631508,24.9381199,971.2901040401083,€€,4.1
Mat,bakeries,Bakeries,60.1631,24.94172,991.1445052219212,,5.0
Factory St. Gallery,galleries,Art Galleries,60.1582140665298,24.9428010731936,519.7019023205604,€,4.0
Norisushi Bar,sushi,Sushi Bars,60.1638603,24.9520893,928.6951844108067,,5.0
Moola Rööperi,yoga,Yoga,60.1606293,24.9405594,924.3540237290355,,5.0
Levant,mideastern,Middle Eastern,60.1643105,24.9358006,1250.2158617093298,€,4.0
Kom-ravintola,modern_european,Modern European,60.1588053526004,24.9460515126103,445.69624859058126,€€,4.0
BB.Badger&co,pubs,Pubs,60.1633862318622,24.9463684111834,914.2827741897202,,5.0
Soil Wine Room,wine_bars,Wine Bars,60.1641808,24.9376907,1209.4960357808443,€€,4.0
Cafe Panik,coffee,Coffee & Tea,60.1603630062143,24.9403458461165,779.6860994770122,,5.0
Bones,danceclubs,Dance Clubs,60.1634564,24.9415345,1018.6877845554998,€€,4.0
Fafa's Citykäytävä,mideastern,Middle Eastern,60.164004062598,24.9440579285889,1017.1550636322784,€,4.0
Farouge,mideastern,Middle Eastern,60.1641808,24.9435406,1055.1553546813707,€€€,4.0
Guo Ji,chinese,Chinese,60.1582108,24.9363308,812.1283381501089,,5.0
Ravintola Vinkkeli,modern_european,Modern European,60.1639,24.94641,652.0509054879301,€€€€,5.0
Ravintola Savoy,restaurants,Restaurants,60.1666412,24.9473209,841.6784000236386,€€€€,4.8
Chef & Sommelier,scandinavian,Scandinavian,60.15766,24.94254,837.4419214067293,€€€€,4.8
Krog Roba,scandinavian,Scandinavian,60.16454,24.94722,644.1115389919446,€€€,4.8
Spis,scandinavian,Scandinavian,60.1636314,24.9476795,536.3261420580192,€€€€,4.8
Pompier,scandinavian,Scandinavian,60.1671925257657,24.9492107925732,792.4308772006144,€€€,4.8
Finlandia Caviar Shop & Restaurant,gourmet,Specialty Food,60.16691,24.95163,721.2843662190343,,5.0
Trillby & Chadwick,speakeasies,Speakeasies,60.16835,24.9538,857.269753444925,€€,4.7
Signora Delizia,coffee,Coffee & Tea,60.1676788,24.9626503,831.1032095960884,€€,4.7
Karl Johan,scandinavian,Scandinavian,60.1680266,24.9389719,1228.9262651741114,€€€,4.7
Zucchini,vegetarian,Vegetarian,60.1662313763646,24.9494676174376,693.7201908097707,€,4.7
Rikhardinkadun kirjasto,libraries,Libraries,60.1662407,24.9464092,795.7849702571875,,4.7
Bar Haven,champagne_bars,Champagne Bars,60.1666,24.95164,663.8150281448364,€€€,4.6
Olo,scandinavian,Scandinavian,60.1680572300478,24.9564699456096,784.7836229111424,€€€€,4.6
Classic Pizza,pizza,Pizza,60.1685237503237,24.9424013740297,1136.2536622487687,€€,4.6
Ravintola Aino,scandinavian,Scandinavian,60.1681595,24.9502296,842.2107521157756,€€€€,4.6
Trocadero,french,French,60.1647987,24.9426403,889.8285291788148,,4.8
Ora,scandinavian,Scandinavian,60.15766,24.94254,838.1051851347291,,5.0
Demo,scandinavian,Scandinavian,60.1648301,24.9415088,922.4928648666631,€€€€,4.5
Yes yes yes,vegan,Vegan,60.1642087586756,24.9439802393317,769.3189085990741,,5.0
Shelter,modern_european,Modern European,60.16898,24.95993,916.6880511229192,€€€,4.5
Palace,scandinavian,Scandinavian,60.1652603,24.9518204,529.1451413852319,€€€€,4.8
Liberty or Death,speakeasies,Speakeasies,60.16472,24.94462,777.1444099212647,€€,4.5
El Greco,greek,Greek,60.16597,24.94489,822.3732312166018,€€,4.5
Vibami,vietnamese,Vietnamese,60.1631,24.94172,733.9376716370379,€€,4.5
Tommyknocker,pubs,Pubs,60.1634598,24.9412804,859.5970083825044,€€,4.4
Pizzeria Via Tribunali,pizza,Pizza,60.16848,24.95157,855.0931051617196,,4.4
Soppakeittiö,soup,Soup,60.1664065865745,24.952743931244,632.5542558382822,€,4.4
The Riff,bars,Bars,60.1641388,24.9428196,790.6944290462249,€€,4.4
Toca,modern_european,Modern European,60.1654414,24.9512655,566.9861466299999,€€€,4.4
Hills Dumplings,dimsum,Dim Sum,60.16441,24.94533,710.9001358124887,,4.4
Cafe Yrjö,coffee,Coffee & Tea,60.1683083,24.93894,1234.0933003421399,€€€,4.3
Katajanokan Kasino,venues,Venues & Event Spaces,60.1692900139143,24.9652956653234,1047.5540289886055,€€€€,4.3
